타임스탬프,"I have read and understood the instructions above. I agree to take part in this research, and I am 18 years old or over. ",How would you describe your gender? ,Which of the following age categories best describes you? ,What is the highest level of education that you have completed? ,"Which of the options best describes your frequency of coming across any influencer-generated marketing video? (This research defines ‘influencer-generated marketing video’ as the video content with promoting purpose, uploaded by an influencer who is sponsored either by the brand or a marketing agency.) ",How likely will you want to buy a product because the influencer present helpful and instructive information in influencer-generated marketing video?,How likely will you want to buy a product because it is presented in an entertaining way in an influencer-generated marketing video?
2022. 4. 15 오전 8:01:16,Yes / 我同意,Female / 女,26-35,Master's degree or higher / 硕士学历,About two to three times a week / 一周两至三次,Slightly likely / 一般可能,Not likely at all / 不可能
2022. 4. 15 오후 8:26:56,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About once a week / 一周一次,Moderately Likely / 可能,Slightly likely / 一般可能
2022. 4. 15 오후 8:27:18,Yes / 我同意,Male / 男,18-25,Master's degree or higher / 硕士学历,About once a month / 一月一次,Moderately Likely / 可能,Moderately Likely / 可能
2022. 4. 16 오전 2:09:39,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,More than once a day / 高于一天一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 16 오전 11:19:10,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,More than once a day / 高于一天一次,Not likely at all / 不可能,Not likely at all / 不可能
2022. 4. 16 오후 7:04:46,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About once a month / 一月一次,Not likely at all / 不可能,Not likely at all / 不可能
2022. 4. 16 오후 8:00:50,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About two to three times a week / 一周两至三次,Slightly likely / 一般可能,Not likely at all / 不可能
2022. 4. 16 오후 8:19:28,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,More than once a day / 高于一天一次,Not likely at all / 不可能,Not likely at all / 不可能
2022. 4. 16 오후 8:53:08,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About once a day / 一天一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 16 오후 9:03:03,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,Less than once a month / 低于一月一次,Slightly likely / 一般可能,Moderately Likely / 可能
2022. 4. 16 오후 9:20:52,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,More than once a day / 高于一天一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 18 오후 6:57:03,Yes / 我同意,Male / 男,18-25,Master's degree or higher / 硕士学历,Less than once a month / 低于一月一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 18 오후 7:01:30,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,Less than once a month / 低于一月一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 18 오후 7:02:36,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About once a month / 一月一次,Moderately Likely / 可能,Moderately Likely / 可能
2022. 4. 18 오후 7:14:57,Yes / 我同意,Male / 男,18-25,Bachelor’s degree / 学士学历,About once a week / 一周一次,Slightly likely / 一般可能,Moderately Likely / 可能
2022. 4. 18 오후 8:35:54,Yes / 我同意,Male / 男,18-25,Master's degree or higher / 硕士学历,About two to three times a week / 一周两至三次,Slightly likely / 一般可能,Very likely / 非常可能
2022. 4. 18 오후 9:03:37,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,More than once a day / 高于一天一次,Moderately Likely / 可能,Moderately Likely / 可能
2022. 4. 18 오후 9:03:55,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About once a month / 一月一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 19 오전 3:16:27,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,Less than once a month / 低于一月一次,Not likely at all / 不可能,Moderately Likely / 可能
2022. 4. 19 오후 5:15:09,Yes / 我同意,Female / 女,26-35,Bachelor’s degree / 学士学历,About once a month / 一月一次,Slightly likely / 一般可能,Moderately Likely / 可能
2022. 4. 19 오후 9:57:40,Yes / 我同意,Male / 男,26-35,Bachelor’s degree / 学士学历,About two to three times a week / 一周两至三次,Moderately Likely / 可能,Moderately Likely / 可能
